,x,y,total,totalerr
0,-0.20000000000000018,-0.0019999999999988916,1719350.899281466,216.28814162061738
1,-0.20000000000000018,0.0,1720454.1113333357,216.08017105574308
2,-0.20000000000000018,0.0019999999999988916,1720728.9484545467,215.62217071524051
3,-0.1980000000000004,0.0019999999999988916,1722994.855605323,213.0798378184686
4,-0.1980000000000004,0.0,1722611.3504137949,216.93040895465774
5,-0.1980000000000004,-0.0019999999999988916,1721654.1346739633,211.5844102284042
6,-0.19599999999999973,-0.0019999999999988916,1723897.3542331846,214.28097502586297
7,-0.19599999999999973,0.0,1722304.1521648115,213.5130058033579
8,-0.19599999999999973,0.0019999999999988916,1721321.009292518,215.4212187536013
9,-0.19399999999999995,0.0019999999999988916,1723936.843909092,215.77638974517149
10,-0.19399999999999995,0.0,1723066.7216936941,214.74780358467183
11,-0.19399999999999995,-0.0019999999999988916,1724693.2983619918,215.32953957762052
12,-0.19200000000000017,-0.0019999999999988916,1723171.8141990954,215.23947321663832
13,-0.19200000000000017,0.0,1727126.23585877,216.12944509470603
14,-0.19200000000000017,0.0019999999999988916,1725407.4828054928,216.58548263520692
15,-0.1900000000000004,0.0019999999999988916,1724244.0037336356,215.05658578598144
16,-0.1900000000000004,0.0,1722785.2481834865,216.71622167200067
17,-0.1900000000000004,-0.0019999999999988916,1722777.5910630634,214.73577868186334
18,-0.18799999999999972,-0.0019999999999988916,1724047.579822324,216.04892048916957
19,-0.18799999999999972,0.0,1724208.6666363645,215.79201764616977
20,-0.18799999999999972,0.0019999999999988916,1723354.3852234778,215.03284604100975
21,-0.18599999999999994,0.0019999999999988916,1724481.0637142868,213.86244466095937
22,-0.18599999999999994,0.0,1725780.3770991003,214.88025375946455
23,-0.18599999999999994,-0.0019999999999988916,1725284.0793392863,213.89098188986614
24,-0.18400000000000016,-0.0019999999999988916,1722572.877547511,215.26304968005556
25,-0.18400000000000016,0.0,1724122.5784587162,216.81148968981196
26,-0.18400000000000016,0.0019999999999988916,1724825.7712279912,215.09537308269705
27,-0.18200000000000038,0.0019999999999988916,1726976.2656404495,214.68658466496953
28,-0.18200000000000038,0.0,1726461.3157574378,216.6121109960895
29,-0.18200000000000038,-0.0019999999999988916,1725310.4784504506,214.87857040231924
30,-0.17999999999999972,-0.0019999999999988916,1724661.8489382162,216.5342420976793
31,-0.17999999999999972,0.0,1726135.399923938,214.17153526175258
32,-0.17999999999999972,0.0019999999999988916,1725809.3684977386,215.41122160334103
33,-0.17799999999999994,0.0019999999999988916,1722796.0017136482,214.049166398209
34,-0.17799999999999994,0.0,1724379.0223438926,215.32108562341344
35,-0.17799999999999994,-0.0019999999999988916,1725295.0930684954,216.32206887770408
36,-0.17600000000000016,-0.0019999999999988916,1726549.7254885875,216.36957478543545
37,-0.17600000000000016,0.0,1724011.8327945226,216.25065159877263
